SKU,stock,URL,SP,MRP,productname
http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs?pid=RAQDCNWAHFGHK2JB,In Stock.,,http://www.flipkart.com/yonex-nanospeed-9900-g4-strung-badminton-racquet/p/itmdrubwft97qfhs,,11050,"
                            Yonex Nanospeed 9900 G4 Strung Badminton Racquet                    "
http://www.flipkart.com/yonex-voltric-5-g4-strung-badminton-racquet/p/itmdcnwahu966mug?pid=RAQDCNWAHU966MUG,In Stock.,,http://www.flipkart.com/yonex-voltric-5-g4-strung-badminton-racquet/p/itmdcnwahu966mug,,2963,"
                            Yonex Voltric 5 G4 Strung Badminton Racquet                    "
http://www.flipkart.com/yonex-arcsaber-7-g4-strung-badminton-racquet/p/itmdfyr9pqznrcjk?pid=RAQDFYR9PQZNRCJK,In Stock.,,http://www.flipkart.com/yonex-arcsaber-7-g4-strung-badminton-racquet/p/itmdfyr9pqznrcjk,,8330,"
                            Yonex Arcsaber 7 G4 Strung Badminton Racquet                    "
http://www.flipkart.com/yonex-arcsaber-7-g4-strung-badminton-racquet/p/itmdfyr9pqznrcjk?pid=RAQDFYR9PQZNRCJK,In Stock.,,http://www.flipkart.com/yonex-arcsaber-7-g4-strung-badminton-racquet/p/itmdfyr9pqznrcjk,,8330,"
                            Yonex Arcsaber 7 G4 Strung Badminton Racquet                    "
SKU,stock,MarketplaceSP,URL,SP,MRP,productname
http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk?pid=RAQDG5ETBRUYZKKK,In Stock.,,http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk,,16500,"
                            Babolat Aeropro Drive GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne?pid=RAQDJ3X3KXUFHBNE,In Stock.,,http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne,,13500,"
                            Babolat Pure Drive + Roddick GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne?pid=RAQDJ3X3KXUFHBNE,In Stock.,,http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne,,13500,"
                            Babolat Pure Drive + Roddick GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk?pid=RAQDG5ETBRUYZKKK,In Stock.,,http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk,,16500,"
                            Babolat Aeropro Drive GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs?pid=RAQDJ3X3QHZWAZJS,In Stock.,,http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs,,15000,"
                            Babolat Pure Drive Lite GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs?pid=RAQDJ3X3QHZWAZJS,In Stock.,,http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs,,15000,"
                            Babolat Pure Drive Lite GT 2013 4 3/8 Unstrung Tennis Racquet                    "
http://www.flipkart.com/babolat-aeropro-lite-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5et5ryhgxzh?pid=RAQDG5ET5RYHGXZH,In Stock.,,http://www.flipkart.com/babolat-aeropro-lite-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5et5ryhgxzh,,16500,"
                            Babolat Aeropro Lite GT 2013 Unstrung - 4 3/8 Tennis Racquet                    "
