Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Training Set,Burn Fitness,1720.00,1720.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Workout for chest; back; lats; shoulder; biceps; triceps; wrists; arms; and grips</span></li><li><span class="a-list-item">Great workout equipment for daily upper body workout and it will increase the tightness of your muscles and the firmness of your outlook</span></li><li><span class="a-list-item">Portable fitness set allows you to take your daily training anywhere</span></li><li><span class="a-list-item">Box Contents: 1 x Handgrip; 1 x Jump Rope; 1 x Chest Expander</span></li></ul></div></div>    </div>,BURNSFbfa3176,BURNSF,fitness-accessories,Training Set,8-13 Working Days,100,N,-190,Get your hands on the Training Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3514.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3514_a_.jpg,
Product,Training Set,Burn Fitness,1145.00,1145.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Workout for chest; back; lats; shoulder; biceps; triceps; wrists; arms; and grips</span></li><li><span class="a-list-item">Great workout equipment for daily upper body workout and it will increase the tightness of your muscles and the firmness of your outlook</span></li><li><span class="a-list-item">Portable fitness set allows you to take your daily training anywhere</span></li><li><span class="a-list-item">Box Contents: 1 x Handgrip; 1 x Jump Rope; 2 x 0.5kg Dumbbells</span></li></ul></div></div>    </div>,BURNSFbfa3517,BURNSF,fitness-accessories,Training Set,8-13 Working Days,100,N,-190,Get your hands on the Training Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3176.jpg,
Product,PVC Jump Skipping Rope,Burn Fitness,390.00,390.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Precision ball bearings for extra speed</span></li><li><span class="a-list-item">Contoured handles that massage hands</span></li><li><span class="a-list-item">9ft smooth pvc rope</span></li><li><span class="a-list-item">Box Contents: 1 x Jump Rope</span></li></ul></div></div><div id="giftcard-holiday-availability-messaging_feature_div" class="feature" data-feature-name="giftCardHolidayAvailabilityMessaging"> </div><div id="andon-cord-pulling_feature_div" class="feature" data-feature-name="andonCordPulling"> </div><div id="originalPackagingMessage_feature_div" class="feature" data-feature-name="originalPackagingMessage"> </div><div id="newerVersion_feature_div" class="feature" data-feature-name="newerVersion"> </div>    </div>,BURNSFBFA3134,BURNSF,fitness-accessories,PVC Jump Skipping Rope,8-13 Working Days,100,N,-190,Get your hands on the PVC Jump Skipping Rope. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3134.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3134_a_.jpg,
Product,PVC Jump Skipping Rope,Burn Fitness,140.00,140.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Smooth pvc rope</span></li><li><span class="a-list-item">Precision handles for extra speed</span></li><li><span class="a-list-item">Ideal for all ages</span></li><li><span class="a-list-item">Box Contents: 1 x Jump Rope</span></li></ul></div></div>    </div>,BURNSFBFA3115,BURNSF,fitness-accessories,PVC Jump Skipping Rope,8-13 Working Days,100,N,-190,Get your hands on the PVC Jump Skipping Rope. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Jump Skipping Rope Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/j/u/jumprope-06a_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/j/u/jumprope-05a_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/j/u/jumprope-05b_4.jpg,
Product,Aerobic Step Board Medium,Burn Fitness,2795.00,2795.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Ideal for your gym or home aerobic step workout</span></li><li><span class="a-list-item">Nonslip surface on platform</span></li><li><span class="a-list-item">Two step adjustment</span></li></ul></div></div>    </div>,BURNSFBFA3168M,BURNSF,fitness-accessories,Aerobic Step Board Medium,8-13 Working Days,100,N,-190,Get your hands on the Aerobic Step Board Medium. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Aerobic Step Board Medium Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Aerobic Step Board Medium Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3168m.jpg,
Product,Anti Burst Gym Ball 75cm With Hand Pump,Burn Fitness,995.00,995.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Ideal for aerobic and fitness exercise</span></li><li><span class="a-list-item">Great for building core strength and flexibility</span></li><li><span class="a-list-item">Improve strength; flexibility and balance</span></li><li><span class="a-list-item">Box Contents: 1 x Gym Ball; 1 x Air Pump</span></li></ul></div></div>    </div>,BURNSFBFA357775,BURNSF,fitness-accessories,Anti Burst Gym Ball 75cm With Hand Pump,8-13 Working Days,100,N,-190,Get your hands on the Anti Burst Gym Ball 75cm With Hand Pump. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Anti Burst Gym Ball 75cm With Hand Pump Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Anti Burst Gym Ball 75cm With Hand Pump Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3577-75.jpg,
Product,PVC Yoga Mat 4mm,Burn Fitness,655.00,655.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Durable slip-resistance textured surface</span></li><li><span class="a-list-item">Compact and easy to store</span></li><li><span class="a-list-item">Washable</span></li><li><span class="a-list-item">Box Contents: 1 x Yoga Mat</span></li></ul></div></div><div id="giftcard-holiday-availability-messaging_feature_div" class="feature" data-feature-name="giftCardHolidayAvailabilityMessaging"> </div><div id="andon-cord-pulling_feature_div" class="feature" data-feature-name="andonCordPulling"> </div><div id="originalPackagingMessage_feature_div" class="feature" data-feature-name="originalPackagingMessage"> </div><div id="newerVersion_feature_div" class="feature" data-feature-name="newerVersion"> </div>    </div>,BURNSFBFA323104,BURNSF,fitness-accessories,PVC Yoga Mat 4mm,8-13 Working Days,100,N,-190,Get your hands on the PVC Yoga Mat 4mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Yoga Mat 4mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Yoga Mat 4mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_grey_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_black_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_blue_1.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_purple_1.jpg,
Product,PVC Yoga Mat 6mm,Burn Fitness,865.00,865.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Durable slip-resistance textured surface</span></li><li><span class="a-list-item">Compact and easy to store</span></li><li><span class="a-list-item">Washable</span></li><li><span class="a-list-item">Box Contents: 1 x Yoga Mat</span></li></ul></div></div>    </div>,BURNSFBFA323106,BURNSF,fitness-accessories,PVC Yoga Mat 6mm,8-13 Working Days,100,N,-190,Get your hands on the PVC Yoga Mat 6mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the PVC Yoga Mat 6mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy PVC Yoga Mat 6mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_black.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_purple.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_grey.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3231-06_blue.jpg,
Product,Yoga foam Roller,Burn Fitness,2730.00,2730.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Use for stretching and flexibility</span></li><li><span class="a-list-item">Shape; tone and massage all muscle groups</span></li><li><span class="a-list-item">Extra thick solid construction</span></li><li><span class="a-list-item">Box Contents: 1 x Yoga Roller</span></li></ul></div></div>    </div>,BURNSFBFA3766,BURNSF,fitness-accessories,Yoga foam Roller,8-13 Working Days,100,N,-190,Get your hands on the Yoga foam Roller. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Yoga foam Roller Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Yoga foam Roller Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3766.jpg,
Product,Rasistance Band Light 0.4mm,Burn Fitness,235.00,235.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Tone and shape your arms; legs and buttocks</span></li><li><span class="a-list-item">Ideal for warming up for any sports</span></li><li><span class="a-list-item">A great addition to pilates exercise and physical exercise</span></li><li><span class="a-list-item">Box Contents: 1 x Resistance Band</span></li></ul></div></div>    </div>,BURNSFBFA3204L,BURNSF,fitness-accessories,Rasistance Band Light 0.4mm,8-13 Working Days,100,N,-190,Get your hands on the Rasistance Band Light 0.4mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rasistance Band Light 0.4mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rasistance Band Light 0.4mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3204l.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3204l_a_.jpg,
Product,Yoga Mat Bag,Burn Fitness,150.00,150.00,,<div class="std">        <ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Yoga Bag is good for storing your Yoga mat.</span></li><li><span class="a-list-item">Easily hold and carry your Yoga mat anywhere</span></li></ul>    </div>,BURNSFBFA3711,BURNSF,fitness-accessories,Yoga Mat Bag,8-13 Working Days,100,N,-190,Get your hands on the Yoga Mat Bag. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Yoga Mat Bag Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Yoga Mat Bag Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3711.jpg,
Product,Rasistance Band Medium 0.5mm,Burn Fitness,265.00,265.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Tone and shape your arms; legs and buttocks</span></li><li><span class="a-list-item">Ideal for warming up for any sports</span></li><li><span class="a-list-item">A great addition to pilates exercise and physical exercise</span></li><li><span class="a-list-item">Box Contents: 1 x Resistance Band</span></li></ul></div></div>    </div>,BURNSFBFA3204M,BURNSF,fitness-accessories,Rasistance Band Medium 0.5mm,8-13 Working Days,100,N,-190,Get your hands on the Rasistance Band Medium 0.5mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rasistance Band Medium 0.5mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rasistance Band Medium 0.5mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3204m.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3204m_a_.jpg,
Product,Rasistance Band Heavy 0.6mm,Burn Fitness,315.00,315.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Tone and shape your arms; legs and buttocks</span></li><li><span class="a-list-item">Ideal for warming up for any sports</span></li><li><span class="a-list-item">A great addition to pilates exercise and physical exercise</span></li><li><span class="a-list-item">Box Contents: 1 x Resistance Band</span></li></ul></div></div>    </div>,BURNSFBFA3204H,BURNSF,fitness-accessories,Rasistance Band Heavy 0.6mm,8-13 Working Days,100,N,-190,Get your hands on the Rasistance Band Heavy 0.6mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rasistance Band Heavy 0.6mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rasistance Band Heavy 0.6mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3204h.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3204h_a_.jpg,
Product,Rasistance Tube Set,Burn Fitness,850.00,850.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Resistance tubes provide resistance for a great upper body toning of arms; chest shoulders and back</span></li><li><span class="a-list-item">Idel for working out at home; gym or while traveling</span></li><li><span class="a-list-item">Foam handles and three tubes</span></li><li><span class="a-list-item">Box Contents: 3 x Resistance Tube; 2 x Handles; 1 x Carry Pouch</span></li></ul></div></div>    </div>,BURNSFBFA3217,BURNSF,fitness-accessories,Rasistance Tube Set,8-13 Working Days,100,N,-190,Get your hands on the Rasistance Tube Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Rasistance Tube Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Rasistance Tube Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3217.jpg,
Product,Burn Magnetic Twister,Burn Fitness,740.00,740.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Gives an effective massage to your thenar bow</span></li><li><span class="a-list-item">Surface with massage points and magnet</span></li><li><span class="a-list-item">Make your waist brest and legs get sufficient exercise</span></li><li><span class="a-list-item">Box Contents: 1 x Magnetic Trimmer</span></li></ul></div></div>    </div>,BURNSFBFA3165F,BURNSF,fitness-accessories,Burn Magnetic Twister,8-13 Working Days,100,N,-190,Get your hands on the Burn Magnetic Twister. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Burn Magnetic Twister Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Burn Magnetic Twister Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3165f.jpg,
Product,Aerobic Step Board Small,Burn Fitness,1865.00,1865.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Ideal for your gym or home aerobic step workout</span></li><li><span class="a-list-item">Nonslip surface on platform</span></li><li><span class="a-list-item">Two step adjustment</span></li><li><span class="a-list-item">Box Contents: 1 x Step Board</span></li></ul></div></div>    </div>,BURNSFBFA3168S,BURNSF,fitness-accessories,Aerobic Step Board Small,8-13 Working Days,100,N,-190,Get your hands on the Aerobic Step Board Small. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Aerobic Step Board Small Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Aerobic Step Board Small Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3168s.jpg,
Product,Aerobic Step Board Big,Burn Fitness,3950.00,3950.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Ideal for your gym or home aerobic step workout</span></li><li><span class="a-list-item">Nonslip surface on platform</span></li><li><span class="a-list-item">Two step adjustment</span></li></ul></div></div>    </div>,BURNSFBFA3168B,BURNSF,fitness-accessories,Aerobic Step Board Big,8-13 Working Days,100,N,-190,Get your hands on the Aerobic Step Board Big. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Aerobic Step Board Big Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Aerobic Step Board Big Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3168b.jpg,
Product,Exercise Wheel,Burn Fitness,595.00,595.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Strengthens arms; abs; shoulders and back</span></li><li><span class="a-list-item">Trims and tones waistline</span></li><li><span class="a-list-item">Steel road with comfortable grips</span></li><li><span class="a-list-item">Box Contents: 1 x Wheel</span></li></ul></div></div>    </div>,BURNSFbfa3160a,BURNSF,fitness-accessories,Exercise Wheel,8-13 Working Days,100,N,-190,Get your hands on the Exercise Wheel. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Exercise Wheel Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Exercise Wheel Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3517.jpg,
Product,Exercise Wheel,Burn Fitness,1965.00,1965.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Strengthens arms; abs; shoulders and back</span></li><li><span class="a-list-item">Trims and tones waistline</span></li><li><span class="a-list-item">Steel road with comfortable grips</span></li><li><span class="a-list-item">Box Contents: 1 x Wheel</span></li></ul></div></div>    </div>,BURNSFbfa3365,BURNSF,fitness-accessories,Exercise Wheel,8-13 Working Days,100,N,-190,Get your hands on the Exercise Wheel. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Exercise Wheel Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Exercise Wheel Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3160a.jpg,
