Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,420409,2-7 Business  Days,7,6,5,IND420409,Adidas Men Black & Orange Nitrocharge 4.0 FG Football Shoes,2,1,BuyAdidas Men Black & Orange Nitrocharge 4.0 FG Football Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"4,099",3,"4,099",,Y,,,By Product,Adidas Men Black & Orange Nitrocharge 4.0 FG Football Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Orange-Nitrocharge-40-FG-Football-Shoes_1645d01c1c577836c5a22f99e66a7e7d_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Orange-Nitrocharge-40-FG-Football-Shoes_f62d01949ad2f10e608b4033cc9350f5_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Orange-Nitrocharge-40-FG-Football-Shoes_6601023073f3615bb237a9d314d121dc_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Orange-Nitrocharge-40-FG-Football-Shoes_62511219eaf73d5df0d2106b01df6295_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Orange-Nitrocharge-40-FG-Football-Shoes_6541df8bf6b6f89c67ec76602db5df27_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,134227,2-7 Business  Days,7,6,5,IND134227,Adidas Men Blue Volantis Sports Shoes,2,1,BuyAdidas Men Blue Volantis Sports Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,799",3,"3,799",,Y,,,By Product,Adidas Men Blue Volantis Sports Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-VOLANTIS-Sports-Shoes_c11409641b3beef81339c5d4fb818de0_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-VOLANTIS-Sports-Shoes_a992b60b593083544f31bde6b1b0cd85_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-VOLANTIS-Sports-Shoes_34948f344ab43f66f6d477e9ad053917_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-VOLANTIS-Sports-Shoes_d3d244544d474c1ca42c5694d2fa24f6_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-VOLANTIS-Sports-Shoes_32cd77d76f9a5e4e313f251cb56124b6_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-VOLANTIS-Sports-Shoes_24dc671638ee9e20ea53f8ed9660b733_images_mini.jpg"
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,134226,2-7 Business  Days,7,6,5,IND134226,Adidas Men Black & Grey Volantis Sports Shoes,2,1,BuyAdidas Men Black & Grey Volantis Sports Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"3,799",3,"3,799",,Y,,,By Product,Adidas Men Black & Grey Volantis Sports Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Grey-VOLANTIS-Sports-Shoes_292a5451982df5be09b9c4ce4509ede2_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Grey-VOLANTIS-Sports-Shoes_29d9adb08fbb960ae896410ea146c241_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Grey-VOLANTIS-Sports-Shoes_75560feb7c240935cc32d7f15939dbb9_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Grey-VOLANTIS-Sports-Shoes_5a4bce2da8f02d070101f92aa3b01562_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Grey-VOLANTIS-Sports-Shoes_1a157a89fedcaf6873ebd42ef5fe7ad9_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black---Grey-VOLANTIS-Sports-Shoes_2198b352cda6f144ed5976d9d442995b_images_mini.jpg"
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406528,2-7 Business  Days,7,6,5,IND406528,Adidas Men Blue Hellion M Running Shoes,2,1,BuyAdidas Men Blue Hellion M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,799",3,"2,799",,Y,,,By Product,Adidas Men Blue Hellion M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-Hellion-M-Running-Shoes_4338d8d3f5588e6a527e3d74022d35de_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-Hellion-M-Running-Shoes_25315b8b24a9ee07e224f3e9749daab3_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-Hellion-M-Running-Shoes_5d27be5b0d663a07f1ed8547e1196626_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-Hellion-M-Running-Shoes_bd8a78d1efd098a2a96d10bbaf4e9004_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Blue-Hellion-M-Running-Shoes_904666f67c3fec4a835171af6154c901_images_mini.jpg",
SKU,,,,546004,,,,,IND546004,,,,,,,,,,Y,30,,,[S]Size=UK 11,,,,,,,
SKU,,,,630829,,,,,IND630829,,,,,,,,,,Y,11,,,[S]Size=UK 12,,,,,,,
SKU,,,,2278746,,,,,IND2278746,,,,,,,,,,Y,110,,,[S]Size=UK 10,,,,,,,
SKU,,,,1357775,,,,,IND1357775,,,,,,,,,,Y,72,,,[S]Size=UK 8,,,,,,,
SKU,,,,2278713,,,,,IND2278713,,,,,,,,,,Y,27,,,[S]Size=UK 12,,,,,,,
SKU,,,,2578662,,,,,IND2578662,,,,,,,,,,Y,93,,,[S]Size=UK 8,,,,,,,
